food_number,name_pt,name_en,group,current_relation,current_class,current_label,current_definition,candidates,foodon_release,decision,relation,class,certainty,justification,evidence,reviewer,reviewed_on
514,"Fermento, biológico, levedura, tablete","Yeast, baker's, compressed",Miscelâneas,type,FOODON_03413797,baker's yeast,,"bakers yeast (FOODON_03310334); bakery product (yeast leavened) (FOODON_03315085); bakery product (yeast leavened, prepared mix) (FOODON_03315086); bakery product (non-yeast leavened) (FOODON_03315266); 44560 - baking yeast (efsa foodex2) (FOODON_03544456)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
577,"Lentilha, cozida","Lentil, cooked",Leguminosas e derivados,relatedMatch,FOODON_00004634,brown lentil (cooked),A brown lentil which is cooked.,red lentil (cooked) (FOODON_00004636); green lentil (cooked) (FOODON_00005618); haleem (FOODON_03601025); khichra (FOODON_03601026); poppadum (FOODON_03307020),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
559,"Ervilha, em vagem","Pea, in pod",Leguminosas e derivados,type,FOODON_03540620,06200 - garden peas (with pods) (efsa foodex2),"Legumes with pod from the plant classified under the species Pisum sativum L. (any subspp. and var.), commonly known as Garden peas or Green peas or Mangetout or Sugar peas or Snow peas or Wrinkled pea. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.[https://en.wikipedia.org/wiki/Pisum_sativum] and [https://www.google.co.uk/search?tbm=isch&q=Garden peas (with pods)]","06210 - podded pea (young pods) (efsa foodex2) (FOODON_03540621); edible pea pod (fresh) (FOODON_03315218); edible pea pod (FOODON_03000117); sugar pea pod (edible, fresh) (FOODON_03311801); snow pea pod (edible, fresh) (FOODON_00002804)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
533,"Cuscuz, de milho, cozido com sal","Cuscuz, corn, cooked with salt",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
457,"Leite, de vaca, desnatado, UHT","Milk, cow, skimmed, UHT",Leite e derivados,type,FOODON_03301484,skim milk food product,"SIREN DB annotation:
* liquid, low viscosity, with no visible particles FOODON:03430123
* partially heat-treated FOODON:03440018
* milk (mammary secretion) UBERON:0001913
* full fat removal process FOODON:03460248
* pasteurization by heating FOODON:03470135
* low fat food FOODON:03510039 Skimmed milk (British English), or skim milk (American English), is made when all the milkfat is removed from whole milk. It tends to contain around 0.1% fat.","cow milk (semi-skimmed, uht-sterilized) (FOODON_03317580); liquid milk (eurofir) (FOODON_03400780); cow milk (liquid) (FOODON_03302116); 26940 - yoghurt, cow milk (efsa foodex2) (FOODON_03542694); 26960 - yoghurt, cow milk, flavoured (efsa foodex2) (FOODON_03542696)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
20,"Canjica, com leite integral","Canjica (hominy pudding), with whole milk",Cereais e derivados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
490,"Ovo, de galinha, inteiro, frito","Egg, chicken, whole, fried",Ovos e derivados,type,FOODON_00002461,chicken egg (fried),"* 'whole' FOODON:03430131
* fully heat-treated FOODON:03440014
* whole egg without shell FOODON:03420225","chicken egg (fried, frozen) (FOODON_03304798); chicken egg (FOODON_03316061); chicken egg (cooked) (FOODON_00005341); chicken egg white (FOODON_02020155); chicken egg food product (FOODON_00001275)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
543,Maniçoba,Maniçoba (cassava leaf and pork stew),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
521,"Azeitona, verde, conserva","Olive, green, preserved",Outros alimentos industrializados,type,FOODON_03310829,green olive (canned),"SIREN DB annotation:
* surrounded by 'can, bottle or jar' FOODON:03490194
* whole, natural shape FOODON:03430150
* fruit, peel present FOODON:03420137
* pickling process FOODON:03460190
* acidified FOODON:03460200
* sterilization by heating FOODON:03470123",10000238 - olives (perishable) (gs1 gpc) (FOODON_03401179); green olive food product (FOODON_00001936); green olive (FOODON_03301269); green olive (in brine) (FOODON_03307136); green olive (pickled) (FOODON_03310911),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
534,"Cuscuz, paulista",Cuscuz paulista (São Paulo corn couscous),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
528,Barreado,Barreado (slow-cooked beef stew),Alimentos preparados,relatedMatch,FOODON_03304779,beef stew,"SIREN DB annotation:
* semisolid with solid pieces FOODON:03430134
* skeletal meat part, without bone, without skin FOODON:03420268
* ingredient: flavoring, spice or herb added FOODON:03460227
* packed in gravy or sauce, meat FOODON:03480036",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
160,"Tomate, purê","Tomato, puree","Verduras, hortaliças e derivados",type,FOODON_03301457,tomato puree,"SIREN DB annotation:
* liquid, high viscosity, with small particles FOODON:03430121
* fully heat-treated FOODON:03440014
* fruit, peel removed, core, pit or seed removed FOODON:03420229
* water removal to reconstitution ratio 1 plus 1 FOODON:03460114",09360 - tomato puree (efsa foodex2) (FOODON_03540936); tomato puree (for further processing) (FOODON_03317029); tikka masala sauce (FOODON_00002548); chicken curry (FOODON_00003260); 10000586 - chutneys/relishes (frozen) (gs1 gpc) (FOODON_03401176),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
529,"Bife à cavalo, com contra filé","Bife à cavalo (steak with fried egg), striploin",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
311,"Pintado, assado","Pintado (spotted sorubim catfish), baked",Pescados e frutos do mar,relatedMatch,FOODON_02021822,catfish,A catfish which is dead or alive and has a relatively intact body. A whole catfish.,Pseudoplatystoma corruscans (NCBITaxon_309911); Pseudoplatystoma fasciatum (NCBITaxon_456366),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
416,"Hambúrguer, bovino, frito","Hamburger patty, beef, fried",Carnes e derivados,type,FOODON_00002737,beef hamburger (dish),"A hamburger (short: burger) is a sandwich consisting of one or more cooked patties of ground meat, usually beef, placed inside a sliced bread roll or bun. The patty may be pan fried, grilled, or flame broiled.","ground beef patty (FOODON_03317337); imitation hamburger patty (FOODON_03302716); hamburger patty (precooked, in a roll, frozen) (FOODON_03305567); hamburger patty (raw, with cheese spread on bun, frozen) (FOODON_03307844); 38570 - meat burger (no sandwich) (efsa foodex2) (FOODON_03543857)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
126,"Inhame, cru","Yam (inhame), raw","Verduras, hortaliças e derivados",type,FOODON_03307043,yam (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* root, tuber or bulb FOODON:03420238",mountain yam (raw) (FOODON_03000150); fiveleaf yam (raw) (FOODON_03000152); elephants foot yam (raw) (FOODON_00004567); Puerto Rican yam (raw) (FOODON_03307928); red variety sweet potato (raw) (FOODON_03301450),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
260,"Azeite, de oliva, extra virgem","Oil, olive, extra virgin",Gorduras e óleos,type,FOODON_00002808,olive oil (extra-virgin),"Extra virgin olive oil is a virgin olive oil which has a free acidity, expressed as oleic acid, of not more than 0.8 grams per 100 grams.","30950 - olive oil, virgin or extra-virgin (efsa foodex2) (FOODON_03543095); mixtures of refined olive oil and refined olive oil residue (FOODON_03316686); olive oil (virgin) (FOODON_03306633); 30940 - olive oils (efsa foodex2) (FOODON_03543094); 30960 - olive oil, refined (efsa foodex2) (FOODON_03543096)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
592,"Farinha, de mesocarpo de babaçu, crua","Flour, babassu mesocarp, raw",Nozes e sementes,none,,,,"flour (FOODON_00004510); granulated flour (FOODON_03304488); cereal or cereal-like milling products and derivatives (eurofir) (FOODON_03400813); 00900 - graham flour (efsa foodex2) (FOODON_03540090); peanut (shell off, flour-coated) (FOODON_03310988)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
545,"Salada, de legumes, com maionese","Salad, vegetables, with mayonnaise",Alimentos preparados,relatedMatch,FOODON_03400866,prepared salad (eurofir),"A combination of one or more vegetable, fruit, herb, meat, poultry, seafood, egg, cereal or pasta, usually served with some kind of moist dressing; may be moulded with a jellying agent. Salad takes precedence over other product types. Examples are egg salad, tuna salad, mixed vegetable salad, jelled fruit salad, macaroni salad, potato salad, rice salad, mayonnaise salad.","40220 - mixed vegetable salad (efsa foodex2) (FOODON_03544022); vegetable salad (FOODON_03307695); vegetable salad food product (FOODON_00002334); vegetable salad mix (pre-cut, raw) (FOODON_03304718); salad vegetable (packaged, refrigerated) (FOODON_03307702)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
312,"Pintado, cru","Pintado (spotted sorubim catfish), raw",Pescados e frutos do mar,relatedMatch,FOODON_03303384,catfish (raw),"SIREN DB annotation:
* solid FOODON:03430151
* not heat-treated FOODON:03440003
* skeletal meat part FOODON:03420175",Pseudoplatystoma corruscans (NCBITaxon_309911); Pseudoplatystoma fasciatum (NCBITaxon_456366),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
466,"Queijo, petit suisse, morango","Cheese, petit suisse, strawberry",Leite e derivados,none,,,,petite suisse cheese (FOODON_03303550); cheese (FOODON_03000287); cheese product analog (us cfr) (FOODON_03400128); 39520 - cheese-based canapé (efsa foodex2) (FOODON_03543952); macaroni and cheese (FOODON_00002960),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
569,"Feijão, rajado, cozido","Bean, rajado (speckled), cooked",Leguminosas e derivados,type,FOODON_00004375,pinto bean (cooked),A pinto bean which has been cooked.,bean (FOODON_00002753); winged bean (FOODON_03310299); dry bean food product (FOODON_00001201); winged bean plant (FOODON_03411726); cranberry bean material (FOODON_00002750),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
505,"Maria mole, coco queimado","Maria mole (coconut marshmallow), burnt coconut",Produtos açucarados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
588,"Castanha-de-caju, torrada, salgada","Cashew nut, roasted, salted",Nozes e sementes,type,FOODON_03311214,"cashew nut (shell off, roasted)","SIREN DB annotation:
* whole, natural shape FOODON:03430150
* fully heat-treated FOODON:03440014
* seed (anatomical part) FOODON:03420155
* water removal process FOODON:03460138
* partial fat removal process FOODON:03460247
* roasting seed process FOODON:03460391
* artificial heat drying FOODON:03470144","cashew nut (shell off, oil roasted) (FOODON_03311212); cashew plant (FOODON_03411221); cashew nut (FOODON_00003615); cashew nut (raw) (FOODON_03301357); 11300 - cashew nuts and similar- (efsa foodex2) (FOODON_03541130)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
540,Feijoada,Feijoada (black bean and pork stew),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
561,"Feijão, carioca, cozido","Bean, carioca, cooked",Leguminosas e derivados,type,FOODON_00004375,pinto bean (cooked),A pinto bean which has been cooked.,bean (FOODON_00002753); winged bean (FOODON_03310299); dry bean food product (FOODON_00001201); winged bean plant (FOODON_03411726); cranberry bean material (FOODON_00002750),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
310,"Pescadinha, crua","Weakfish, small (pescadinha), raw",Pescados e frutos do mar,type,FOODON_03307997,weakfish (raw),"SIREN DB annotation:
* solid FOODON:03430151
* not heat-treated FOODON:03440003
* skeletal meat part FOODON:03420175",weakfish (FOODON_03412375); king weakfish (FOODON_00002896); striped weakfish (FOODON_03412380); 23730 - weakfishes (efsa foodex2) (FOODON_03542373); weakfish group (FOODON_03412657),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
437,"Porco, rabo, salgado, cru","Pork, tail, salted, raw",Carnes e derivados,type,FOODON_02021801,pork tail (raw),A whole raw pork tail.,"pork tail (FOODON_02021711); pork petite tender (FOODON_02000338); pork steak (FOODON_02021757); 21280 - pastrami, pork (efsa foodex2) (FOODON_03542128); pork ear (dried) (FOODON_00003848)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
294,"Corvina grande, cozida","Croaker, large, cooked",Pescados e frutos do mar,closeMatch,FOODON_03411794,croaker,,23800 - large yellow croaker (efsa foodex2) (FOODON_03542380); croceine croaker (FOODON_03413914); Larimichthys crocea (NCBITaxon_215358); yellow croaker (FOODON_03412487); atlantic croaker (FOODON_03411795),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
461,"Queijo, minas, frescal","Cheese, minas, fresh (frescal)",Leite e derivados,type,FOODON_03000649,fresh cheese,A cheese which undergoes little or no cheese ripening.,minas cheese (FOODON_03601036); cheese (FOODON_03000287); cheese product analog (us cfr) (FOODON_03400128); 39520 - cheese-based canapé (efsa foodex2) (FOODON_03543952); macaroni and cheese (FOODON_00002960),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
511,"Café, pó, torrado","Coffee, ground, roasted",Miscelâneas,type,FOODON_03302659,"coffee bean (roasted, medium ground)","SIREN DB annotation:
* medium ground FOODON:03430117
* fully heat-treated FOODON:03440014
* seed, skin removed, germ present FOODON:03420132
* water removal process FOODON:03460138
* roasting seed process FOODON:03460391","34140 - coffee ground, roasted and decaffeinated (efsa foodex2) (FOODON_03543414); 34130 - coffee ground, roasted (efsa foodex2) (FOODON_03543413); coffee (roasted, ground, spent) (FOODON_03303095); coffee bean (roasted, medium ground, freeze-dried) (FOODON_03302209); coffee with chicory (roasted, ground) (FOODON_03303094)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
515,"Gelatina, sabores variados, pó","Gelatin, assorted flavours, powder",Miscelâneas,relatedMatch,FOODON_03544158,41580 - gelatine (efsa foodex2),"The group includes any type of Gelatine, i.e. purified product obtained by partial hydrolysis of collagen. It has gelling properties. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. ] and [https://en.wikipedia.org/wiki/Gelatin] and [https://www.google.co.uk/search?tbm=isch&q=gelatin powder and sheets]",gelatin (CHEBI_5291); gelatin-based capsule (FOODON_03316309); gelatin-type dessert substitute (FOODON_03316268); hard gelatin capsule (FOODON_03430160); gelatin dessert food product (FOODON_00001899),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
280,"Bacalhau, salgado, refogado","Cod, salted (bacalhau), sauteed",Pescados e frutos do mar,relatedMatch,FOODON_03411423,cod,,"26180 - salted cod (efsa foodex2) (FOODON_03542618); codfish (salted) (FOODON_03307021); salt substitute (codex) (FOODON_03400439); brown salt: nutrient, dietary supplement (codex) (FOODON_03400379); 01690 - pretzels (efsa foodex2) (FOODON_03540169)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
462,"Queijo, minas, meia cura","Cheese, minas, semi-cured (meia cura)",Leite e derivados,relatedMatch,FOODON_03316148,semihard cheese,"SIREN DB annotation:
* solid FOODON:03430151
* curd FOODON:03420245
* lactic acid-other agent fermentation process FOODON:03460107
* curing or aging process FOODON:03460253",minas cheese (FOODON_03601036); cheese (FOODON_03000287); cheese product analog (us cfr) (FOODON_03400128); 39520 - cheese-based canapé (efsa foodex2) (FOODON_03543952); macaroni and cheese (FOODON_00002960),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
347,"Carne, bovina, costela, assada","Beef, ribs (costela), roasted",Carnes e derivados,relatedMatch,FOODON_02000207,beef ribeye roast,A beef rib roast that has had the sixth through the twelfth rib bones removed leaving just the rib-eye muscle. “Ribeye” is an anatomical name meaning Eye of the Rib.,beef ribeye roast (raw) (FOODON_02000208); beef prime rib roast (raw) (FOODON_02000228); beef ribeye petite roast (raw) (FOODON_02000214); beef prime rib roast (FOODON_00002954); beef ribeye petite roast (FOODON_02000213),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
551,"Tapioca, com manteiga","Tapioca crepe, with butter",Alimentos preparados,relatedMatch,FOODON_03307663,tapioca,"SIREN DB annotation:
* finely ground FOODON:03430106
* starch FOODON:03420203 Tapioca is a starch extracted from the storage roots of the cassava plant (Manihot esculenta).",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
548,Sarapatel,Sarapatel (pork offal stew),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
450,"Iogurte, sabor abacaxi","Yogurt, pineapple flavoured",Leite e derivados,none,,,,"strained yogurt (FOODON_00003258); yogurt food product (FOODON_00001014); cow milk (sterilized, yogurt-flavored) (FOODON_03304465); soy yogurt (FOODON_00003193); frozen yogurt (us cfr) (FOODON_03400211)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
380,"Carne, bovina, picanha, com gordura, crua","Beef, picanha (top sirloin cap), with fat, raw",Carnes e derivados,none,,,,beef culotte roast (FOODON_02000159); beef culotte steak (FOODON_02000157); beef top sirloin steak (FOODON_02000149); beef (ground) (FOODON_00001282); beef chuck roast (FOODON_02000103),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
560,"Ervilha, enlatada, drenada","Pea, canned, drained",Leguminosas e derivados,none,,,,peanut candy food product (FOODON_00002097); peach (canned) (FOODON_03301271); clingstone peach (canned) (FOODON_03301273); freestone peach (canned) (FOODON_03301274); pear (canned) (FOODON_03301611),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
467,"Queijo, prato","Cheese, prato",Leite e derivados,relatedMatch,FOODON_03315868,cheese varietal semi-hard,"SIREN DB annotation:
* solid FOODON:03430151
* curd FOODON:03420245
* lactic acid-other agent fermentation process FOODON:03460107
* curing or aging process FOODON:03460253",cheese (FOODON_03000287); cheese product analog (us cfr) (FOODON_03400128); 39520 - cheese-based canapé (efsa foodex2) (FOODON_03543952); macaroni and cheese (FOODON_00002960); cheese or cheese product (us cfr) (FOODON_03400115),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
503,Glicose de milho,Corn syrup (glucose),Produtos açucarados,type,FOODON_03301061,corn syrup,"SIREN DB annotation:
* liquid, high viscosity, with no visible particles FOODON:03430139
* sugar syrup or syrup solids FOODON:03420271
* acidified FOODON:03460200","30080 - corn syrup (efsa foodex2) (FOODON_03543008); infant formula with corn syrup (FOODON_00001841); corn syrup (high fructose) (FOODON_03315149); corn cob syrup (FOODON_03306048); sugar, honey or syrup (eurofir) (FOODON_03400836)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
26,"Cereal matinal, milho, açúcar","Breakfast cereal, corn, sugared",Cereais e derivados,relatedMatch,FOODON_03302904,corn flakes,"Corn flakes, or cornflakes, are a popular breakfast cereal made by toasting flakes of corn. SIREN DB annotation:
* whole, shape achieved by forming, thickness <0.3 cm. FOODON:03430153
* fully heat-treated FOODON:03440014
* seed, skin removed, germ removed (endosperm) FOODON:03420208
* water removal process FOODON:03460138
* food flaking process FOODON:03460274
* preservation by dehydration or drying FOODON:03470116
* ingredient: flavoring or spice extract or concentrate added FOODON:03460100
* ingredient: sucrose added FOODON:03460158","breakfast cereal (corn-based, ready-to-eat) (FOODON_03311318); breakfast cereal (eurofir) (FOODON_03400816); breakfast cereal (us cfr) (FOODON_03400258); Zia mays plant (FOODON_03411232); field corn plant (FOODON_03411379)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
410,"Frango, peito, sem pele, grelhado","Chicken, breast, skinless, grilled",Carnes e derivados,none,,,,chicken breast (FOODON_00002703); chicken breast (raw) (FOODON_03303012); piece(s) of chicken breast (FOODON_02020339); chicken breast (skinless) (FOODON_02020231); chicken breast (with skin) (FOODON_02020233),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
302,"Merluza, filé, cru","Hake, fillet, raw",Pescados e frutos do mar,type,FOODON_03309095,hake fillet (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* skeletal meat part, without bone or shell FOODON:03420125",cape hake fillet (raw) (FOODON_03309077); hake fillet (breaded) (FOODON_03309066); hake fillet (frozen) (FOODON_03309332); hake fillet (quick-frozen) (FOODON_03316734); hake (FOODON_03413878),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
478,"Coco, água de",Coconut water,Bebidas (alcoólicas e não alcoólicas),type,FOODON_00005449,coconut water,"The naturally occurring liquid extracted from a young, green coconut.",32550 - coconut water (efsa foodex2) (FOODON_03543255); water extract of coconut meat (FOODON_03305632); nata de coco (FOODON_00002243); 32580 - coconut milk (cocos nucifera) liquid (efsa foodex2) (FOODON_03543258); coconut (desiccated) (FOODON_03317671),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
313,"Pintado, grelhado","Pintado (spotted sorubim catfish), grilled",Pescados e frutos do mar,relatedMatch,FOODON_02021822,catfish,A catfish which is dead or alive and has a relatively intact body. A whole catfish.,Pseudoplatystoma corruscans (NCBITaxon_309911); Pseudoplatystoma fasciatum (NCBITaxon_456366),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
389,"Empada de frango, pré-cozida, assada","Empada (chicken pie), precooked, baked",Carnes e derivados,type,FOODON_03307577,chicken pie,"SIREN DB annotation:
* whole, shape achieved by forming, thickness 1.5-7 cm. FOODON:03430105
* broth or stock FOODON:03420170
* food filling process FOODON:03460207
* ingredient: grain added FOODON:03460152
* ingredient: flavoring, spice or herb added FOODON:03460227",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
587,"Amêndoa, torrada, salgada","Almond, roasted, salted",Nozes e sementes,type,FOODON_03311210,"almond (dry, roasted)","SIREN DB annotation:
* whole, natural shape FOODON:03430150
* fully heat-treated FOODON:03440014
* seed (anatomical part) FOODON:03420155
* water removal process FOODON:03460138
* partial fat removal process FOODON:03460247
* roasting seed process FOODON:03460391
* preservation by dehydration or drying FOODON:03470116",roasted almond oil (FOODON_03311209); mille-feuille pastry (FOODON_00003254); almond preserves (FOODON_03307081); almond macaroon batter (FOODON_03306282); apricot and almond jam (FOODON_03305877),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
595,"Pinhão, cozido","Pinhão (Araucaria seed), cooked",Nozes e sementes,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
