food_number,name_pt,name_en,status,note
34,"Farinha, de rosca",Breadcrumbs (farinha de rosca),draft,
35,"Farinha, de trigo","Flour, wheat",draft,
36,"Farinha, láctea, de cereais",Cereal flour with milk (farinha láctea),draft,
37,"Lasanha, massa fresca, cozida","Lasagne, fresh pasta, cooked",draft,
38,"Lasanha, massa fresca, crua","Lasagne, fresh pasta, raw",draft,
39,"Macarrão, instantâneo","Noodles, instant",draft,
40,"Macarrão, trigo, cru","Pasta, wheat, raw",draft,
41,"Macarrão, trigo, cru, com ovos","Pasta, wheat, raw, with eggs",draft,
42,"Milho, amido, cru","Corn, starch, raw",draft,
43,"Milho, fubá, cru","Corn, meal (fubá), raw",draft,
44,"Milho, verde, cru","Corn, sweet (milho verde), raw",draft,
45,"Milho, verde, enlatado, drenado","Corn, sweet (milho verde), canned, drained",draft,
46,"Mingau tradicional, pó","Porridge mix, traditional, powder",draft,
47,"Pamonha, barra para cozimento, pré-cozida","Pamonha (sweet corn tamale), bar for cooking, precooked",draft,
48,"Pão, aveia, forma","Bread, oat, sandwich loaf",draft,
49,"Pão, de soja","Bread, soy",draft,
50,"Pão, glúten, forma","Bread, gluten, sandwich loaf",draft,
51,"Pão, milho, forma","Bread, corn, sandwich loaf",draft,
52,"Pão, trigo, forma, integral","Bread, wheat, sandwich loaf, wholemeal",draft,
53,"Pão, trigo, francês","Bread, wheat, French roll (pão francês)",draft,
54,"Pão, trigo, sovado","Bread, wheat, sovado (dense kneaded roll)",draft,
55,"Pastel, de carne, cru","Pastel (pastry turnover), beef filling, raw",draft,
56,"Pastel, de carne, frito","Pastel (pastry turnover), beef filling, fried",draft,
57,"Pastel, de queijo, cru","Pastel (pastry turnover), cheese filling, raw",draft,
58,"Pastel, de queijo, frito","Pastel (pastry turnover), cheese filling, fried",draft,
59,"Pastel, massa, crua","Pastel (pastry turnover), dough, raw",draft,
60,"Pastel, massa, frita","Pastel (pastry turnover), dough, fried",draft,
61,"Pipoca, com óleo de soja, sem sal","Popcorn, with soybean oil, without salt",draft,
62,"Polenta, pré-cozida","Polenta, precooked",draft,
63,"Torrada, pão francês","Toast, French roll",draft,
64,"Abóbora, cabotian, cozida","Squash, kabocha (cabotian), cooked",draft,
65,"Abóbora, cabotian, crua","Squash, kabocha (cabotian), raw",draft,
66,"Abóbora, menina brasileira, crua","Squash, menina brasileira, raw",draft,a Brazilian Cucurbita moschata variety
67,"Abóbora, moranga, crua","Squash, moranga, raw",draft,moranga is a Cucurbita maxima pumpkin
68,"Abóbora, moranga, refogada","Squash, moranga, sauteed",draft,moranga is a Cucurbita maxima pumpkin
69,"Abóbora, pescoço, crua","Squash, pescoço (crookneck), raw",draft,
70,"Abobrinha, italiana, cozida","Zucchini, Italian, cooked",draft,
71,"Abobrinha, italiana, crua","Zucchini, Italian, raw",draft,
72,"Abobrinha, italiana, refogada","Zucchini, Italian, sauteed",draft,
73,"Abobrinha, paulista, crua","Zucchini, paulista, raw",draft,a light green Brazilian variety
74,"Acelga, crua","Chard (acelga), raw",draft,in Brazilian markets acelga can also mean Chinese cabbage; aligned to Swiss chard
75,"Agrião, cru","Watercress, raw",draft,
76,"Aipo, cru","Celery, raw",draft,
77,"Alface, americana, crua","Lettuce, iceberg, raw",draft,
78,"Alface, crespa, crua","Lettuce, curly leaf (crespa), raw",draft,
79,"Alface, lisa, crua","Lettuce, butterhead (lisa), raw",draft,
80,"Alface, roxa, crua","Lettuce, red leaf, raw",draft,
81,"Alfavaca, crua","Basil, alfavaca, raw",draft,
82,"Alho, cru","Garlic, raw",draft,
83,"Alho-poró, cru","Leek, raw",draft,
84,"Almeirão, cru","Chicory leaves (almeirão), raw",draft,
85,"Almeirão, refogado","Chicory leaves (almeirão), sauteed",draft,
86,"Batata, baroa, cozida","Arracacha (batata baroa), cooked",draft,
87,"Batata, baroa, crua","Arracacha (batata baroa), raw",draft,
88,"Batata, doce, cozida","Sweet potato, cooked",draft,
89,"Batata, doce, crua","Sweet potato, raw",draft,
90,"Batata, frita, tipo chips, industrializada","Potato, crisps, industrialised",draft,
91,"Batata, inglesa, cozida","Potato, cooked",draft,batata inglesa is the common potato
92,"Batata, inglesa, crua","Potato, raw",draft,batata inglesa is the common potato
93,"Batata, inglesa, frita","Potato, fried",draft,batata inglesa is the common potato
94,"Batata, inglesa, sauté","Potato, sauteed",draft,batata inglesa is the common potato
95,"Berinjela, cozida","Eggplant, cooked",draft,
96,"Berinjela, crua","Eggplant, raw",draft,
97,"Beterraba, cozida","Beet, cooked",draft,
98,"Beterraba, crua","Beet, raw",draft,
99,"Biscoito, polvilho doce","Biscuit, sweet cassava starch (polvilho doce)",draft,
100,"Brócolis, cozido","Broccoli, cooked",draft,
101,"Brócolis, cru","Broccoli, raw",draft,
102,"Cará, cozido","Yam (cará), cooked",draft,
103,"Cará, cru","Yam (cará), raw",draft,
104,"Caruru, cru","Amaranth leaves (caruru), raw",draft,
105,"Catalonha, crua","Chicory, catalonha, raw",draft,
106,"Catalonha, refogada","Chicory, catalonha, sauteed",draft,
107,"Cebola, crua","Onion, raw",draft,
108,"Cebolinha, crua","Green onion (cebolinha), raw",draft,
109,"Cenoura, cozida","Carrot, cooked",draft,
110,"Cenoura, crua","Carrot, raw",draft,
111,"Chicória, crua","Endive (chicória), raw",draft,
112,"Chuchu, cozido","Chayote, cooked",draft,
113,"Chuchu, cru","Chayote, raw",draft,
114,"Coentro, folhas desidratadas","Coriander, leaves, dehydrated",draft,
115,"Couve, manteiga, crua","Collard greens (couve manteiga), raw",draft,
116,"Couve, manteiga, refogada","Collard greens (couve manteiga), sauteed",draft,
117,"Couve-flor, crua","Cauliflower, raw",draft,
118,"Couve-flor, cozida","Cauliflower, cooked",draft,
119,"Espinafre, Nova Zelândia, cru","Spinach, New Zealand, raw",draft,
120,"Espinafre, Nova Zelândia, refogado","Spinach, New Zealand, sauteed",draft,
121,"Farinha, de mandioca, crua","Flour, cassava, raw",draft,
122,"Farinha, de mandioca, torrada","Flour, cassava, toasted",draft,
123,"Farinha, de puba","Flour, puba (fermented cassava)",draft,
124,"Fécula, de mandioca","Starch, cassava",draft,
125,"Feijão, broto, cru","Bean sprouts, raw",draft,
126,"Inhame, cru","Yam (inhame), raw",draft,inhame names different tubers in different regions of Brazil (Dioscorea or Colocasia)
127,"Jiló, cru","Jiló (scarlet eggplant), raw",draft,
128,"Jurubeba, crua","Jurubeba (Solanum paniculatum), raw",draft,
129,"Mandioca, cozida","Cassava, cooked",draft,
130,"Mandioca, crua","Cassava, raw",draft,
131,"Mandioca, farofa, temperada","Farofa (toasted cassava flour), seasoned",draft,
132,"Mandioca, frita","Cassava, fried",draft,
133,"Manjericão, cru","Basil, raw",draft,
134,"Maxixe, cru","Maxixe (West Indian gherkin), raw",draft,
135,"Mostarda, folha, crua","Mustard greens, raw",draft,
136,"Nhoque, batata, cozido","Gnocchi, potato, cooked",draft,
137,"Nabo, cru","Turnip, raw",draft,
138,"Palmito, juçara, em conserva","Heart of palm, juçara, canned",draft,
139,"Palmito, pupunha, em conserva","Heart of palm, pupunha (peach palm), canned",draft,
140,"Pão, de queijo, assado","Pão de queijo (cheese bread), baked",draft,
141,"Pão, de queijo, cru","Pão de queijo (cheese bread), raw",draft,
142,"Pepino, cru","Cucumber, raw",draft,
143,"Pimentão, amarelo, cru","Bell pepper, yellow, raw",draft,
144,"Pimentão, verde, cru","Bell pepper, green, raw",draft,
145,"Pimentão, vermelho, cru","Bell pepper, red, raw",draft,
146,"Polvilho, doce","Cassava starch, sweet (polvilho doce)",draft,
147,"Quiabo, cru","Okra, raw",draft,
148,"Rabanete, cru","Radish, raw",draft,
149,"Repolho, branco, cru","Cabbage, white, raw",draft,
150,"Repolho, roxo, cru","Cabbage, red, raw",draft,
151,"Repolho, roxo, refogado","Cabbage, red, sauteed",draft,
152,"Rúcula, crua","Arugula, raw",draft,
153,"Salsa, crua","Parsley, raw",draft,
154,"Seleta de legumes, enlatada","Mixed vegetables (seleta de legumes), canned",draft,
155,"Serralha, crua","Sow thistle (serralha), raw",draft,
156,"Taioba, crua","Taioba (Xanthosoma leaves), raw",draft,
157,"Tomate, com semente, cru","Tomato, with seeds, raw",draft,
158,"Tomate, extrato","Tomato, paste",draft,
159,"Tomate, molho industrializado","Tomato, sauce, industrialised",draft,
160,"Tomate, purê","Tomato, puree",draft,
161,"Tomate, salada","Tomato, salad type",draft,
162,"Vagem, crua","Green beans (vagem), raw",draft,
163,"Abacate, cru","Avocado, raw",draft,
164,"Abacaxi, cru","Pineapple, raw",draft,
165,"Abacaxi, polpa, congelada","Pineapple, pulp, frozen",draft,
166,"Abiu, cru","Abiu, raw",draft,
167,"Açaí, polpa, com xarope de guaraná e glucose","Açaí, pulp, with guaraná syrup and glucose",draft,
168,"Açaí, polpa, congelada","Açaí, pulp, frozen",draft,
169,"Acerola, crua","Acerola, raw",draft,
170,"Acerola, polpa, congelada","Acerola, pulp, frozen",draft,
171,"Ameixa, calda, enlatada","Plum, canned in syrup",draft,
172,"Ameixa, crua","Plum, raw",draft,
173,"Ameixa, em calda, enlatada, drenada","Plum, canned in syrup, drained",draft,
174,"Atemóia, crua","Atemoya, raw",draft,
175,"Banana, da terra, crua","Plantain (banana da terra), raw",draft,
176,"Banana, doce em barra","Banana, sweet paste bar",draft,
177,"Banana, figo, crua","Banana, figo, raw",draft,
178,"Banana, maçã, crua","Banana, maçã, raw",draft,
179,"Banana, nanica, crua","Banana, nanica (Cavendish type), raw",draft,
180,"Banana, ouro, crua","Banana, ouro, raw",draft,
181,"Banana, pacova, crua","Banana, pacova (plantain type), raw",draft,
182,"Banana, prata, crua","Banana, prata, raw",draft,
183,"Cacau, cru","Cacao fruit, raw",draft,
184,"Cajá-Manga, cru","Ambarella (cajá-manga), raw",draft,
185,"Cajá, polpa, congelada","Yellow mombin (cajá), pulp, frozen",draft,
186,"Caju, cru","Cashew apple, raw",draft,
187,"Caju, polpa, congelada","Cashew apple, pulp, frozen",draft,
188,"Caju, suco concentrado, envasado","Cashew apple, juice concentrate, bottled",draft,
189,"Caqui, chocolate, cru","Persimmon, chocolate, raw",draft,
190,"Carambola, crua","Star fruit, raw",draft,
191,"Ciriguela, crua","Red mombin (ciriguela), raw",draft,
192,"Cupuaçu, cru","Cupuaçu, raw",draft,
193,"Cupuaçu, polpa, congelada","Cupuaçu, pulp, frozen",draft,
194,"Figo, cru","Fig, raw",draft,
195,"Figo, enlatado, em calda","Fig, canned in syrup",draft,
196,"Fruta-pão, crua","Breadfruit, raw",draft,
197,"Goiaba, branca, com casca, crua","Guava, white, with peel, raw",draft,
198,"Goiaba, doce em pasta","Guava, sweet paste (goiabada)",draft,
199,"Goiaba, doce, cascão","Guava, sweet paste with peel (cascão)",draft,
200,"Goiaba, vermelha, com casca, crua","Guava, red, with peel, raw",draft,
201,"Graviola, crua","Soursop, raw",draft,
202,"Graviola, polpa, congelada","Soursop, pulp, frozen",draft,
203,"Jabuticaba, crua","Jabuticaba, raw",draft,
204,"Jaca, crua","Jackfruit, raw",draft,
205,"Jambo, cru","Rose apple (jambo), raw",draft,"jambo in Brazil is usually the Malay apple, Syzygium malaccense; TACO gives no species"
206,"Jamelão, cru","Jambolan (jamelão), raw",draft,
207,"Kiwi, cru","Kiwi, raw",draft,
208,"Laranja, baía, crua","Orange, navel (baía), raw",draft,
209,"Laranja, baía, suco","Orange, navel (baía), juice",draft,
210,"Laranja, da terra, crua","Orange, sour (da terra), raw",draft,
211,"Laranja, da terra, suco","Orange, sour (da terra), juice",draft,
212,"Laranja, lima, crua","Orange, lima (acidless), raw",draft,"laranja lima is a sweet, low-acid orange, not a lime"
213,"Laranja, lima, suco","Orange, lima (acidless), juice",draft,"laranja lima is a sweet, low-acid orange, not a lime"
214,"Laranja, pêra, crua","Orange, pera, raw",draft,
215,"Laranja, pêra, suco","Orange, pera, juice",draft,
216,"Laranja, valência, crua","Orange, valencia, raw",draft,
217,"Laranja, valência, suco","Orange, valencia, juice",draft,
218,"Limão, cravo, suco","Rangpur lime (limão cravo), juice",draft,
219,"Limão, galego, suco","Key lime (limão galego), juice",draft,
220,"Limão, tahiti, cru","Lime, Tahiti, raw",draft,
221,"Maçã, Argentina, com casca, crua","Apple, Argentina, with peel, raw",draft,the cultivar sold as maçã Argentina is not stated by TACO
222,"Maçã, Fuji, com casca, crua","Apple, Fuji, with peel, raw",draft,
223,"Macaúba, crua","Macaúba (macaw palm fruit), raw",draft,
224,"Mamão, doce em calda, drenado","Papaya, sweet in syrup, drained",draft,
225,"Mamão, Formosa, cru","Papaya, Formosa, raw",draft,
226,"Mamão, Papaia, cru","Papaya, Solo (papaia), raw",draft,
227,"Mamão verde, doce em calda, drenado","Papaya, green, sweet in syrup, drained",draft,
228,"Manga, Haden, crua","Mango, Haden, raw",draft,
229,"Manga, Palmer, crua","Mango, Palmer, raw",draft,
230,"Manga, polpa, congelada","Mango, pulp, frozen",draft,
231,"Manga, Tommy Atkins, crua","Mango, Tommy Atkins, raw",draft,
232,"Maracujá, cru","Passion fruit, raw",draft,
233,"Maracujá, polpa, congelada","Passion fruit, pulp, frozen",draft,
234,"Maracujá, suco concentrado, envasado","Passion fruit, juice concentrate, bottled",draft,
235,"Melancia, crua","Watermelon, raw",draft,
236,"Melão, cru","Melon, raw",draft,
237,"Mexerica, Murcote, crua","Tangerine, Murcott, raw",draft,
238,"Mexerica, Rio, crua","Tangerine, Rio, raw",draft,
239,"Morango, cru","Strawberry, raw",draft,
240,"Nêspera, crua","Loquat, raw",draft,
241,"Pequi, cru","Pequi, raw",draft,
242,"Pêra, Park, crua","Pear, Park, raw",draft,
243,"Pêra, Williams, crua","Pear, Williams, raw",draft,
244,"Pêssego, Aurora, cru","Peach, Aurora, raw",draft,
245,"Pêssego, enlatado, em calda","Peach, canned in syrup",draft,
246,"Pinha, crua","Sugar apple (pinha), raw",draft,
247,"Pitanga, crua","Surinam cherry (pitanga), raw",draft,
248,"Pitanga, polpa, congelada","Surinam cherry (pitanga), pulp, frozen",draft,
249,"Romã, crua","Pomegranate, raw",draft,
250,"Tamarindo, cru","Tamarind, raw",draft,
251,"Tangerina, Poncã, crua","Tangerine, Ponkan, raw",draft,
252,"Tangerina, Poncã, suco","Tangerine, Ponkan, juice",draft,
253,"Tucumã, cru","Tucumã, raw",draft,
254,"Umbu, cru","Umbu, raw",draft,
255,"Umbu, polpa, congelada","Umbu, pulp, frozen",draft,
256,"Uva, Itália, crua","Grape, Italia, raw",draft,
257,"Uva, Rubi, crua","Grape, Rubi, raw",draft,
258,"Uva, suco concentrado, envasado","Grape, juice concentrate, bottled",draft,
259,"Azeite, de dendê","Oil, palm (dendê)",draft,
260,"Azeite, de oliva, extra virgem","Oil, olive, extra virgin",draft,
261,"Manteiga, com sal","Butter, with salt",draft,
262,"Manteiga, sem sal","Butter, without salt",draft,
263,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Margarine, hydrogenated oil, with salt (65% fat)",draft,
264,"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","Margarine, hydrogenated oil, without salt (80% fat)",draft,
265,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Margarine, interesterified oil, with salt (65% fat)",draft,
266,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Margarine, interesterified oil, without salt (65% fat)",draft,
267,"Óleo, de babaçu","Oil, babassu",draft,
268,"Óleo, de canola","Oil, canola",draft,
269,"Óleo, de girassol","Oil, sunflower",draft,
270,"Óleo, de milho","Oil, corn",draft,
271,"Óleo, de pequi","Oil, pequi",draft,
272,"Óleo, de soja","Oil, soybean",draft,
273,"Abadejo, filé, congelado, assado","Pollock (abadejo), fillet, frozen, baked",draft,
274,"Abadejo, filé, congelado,cozido","Pollock (abadejo), fillet, frozen, cooked",draft,
275,"Abadejo, filé, congelado, cru","Pollock (abadejo), fillet, frozen, raw",draft,
276,"Abadejo, filé, congelado, grelhado","Pollock (abadejo), fillet, frozen, grilled",draft,
277,"Atum, conserva em óleo","Tuna, canned in oil",draft,
278,"Atum, fresco, cru","Tuna, fresh, raw",draft,
279,"Bacalhau, salgado, cru","Cod, salted (bacalhau), raw",draft,
280,"Bacalhau, salgado, refogado","Cod, salted (bacalhau), sauteed",draft,
281,"Cação, posta, com farinha de trigo, frita","Shark (cação), steak, with wheat flour, fried",draft,
282,"Cação, posta, cozida","Shark (cação), steak, cooked",draft,
283,"Cação, posta, crua","Shark (cação), steak, raw",draft,
284,"Camarão, Rio Grande, grande, cozido","Shrimp, Rio Grande, large, cooked",draft,
285,"Camarão, Rio Grande, grande, cru","Shrimp, Rio Grande, large, raw",draft,
286,"Camarão, Sete Barbas, sem cabeça, com casca, frito","Shrimp, sete barbas (Atlantic seabob), headless, shell on, fried",draft,
287,"Caranguejo, cozido","Crab, cooked",draft,
288,"Corimba, cru","Corimba (Prochilodus), raw",draft,
289,"Corimbatá, assado","Curimbatá (Prochilodus), baked",draft,
290,"Corimbatá, cozido","Curimbatá (Prochilodus), cooked",draft,
291,"Corvina de água doce, crua","Croaker, freshwater, raw",draft,
292,"Corvina do mar, crua","Croaker, sea, raw",draft,
293,"Corvina grande, assada","Croaker, large, baked",draft,
294,"Corvina grande, cozida","Croaker, large, cooked",draft,
295,"Dourada de água doce, fresca","Dourada, freshwater, fresh",draft,probably the Amazon catfish Brachyplatystoma rousseauxii; dourado (Salminus) is a different fish; TACO gives no species
296,"Lambari, congelado, cru","Lambari (Astyanax), frozen, raw",draft,
297,"Lambari, congelado, frito","Lambari (Astyanax), frozen, fried",draft,
298,"Lambari, fresco, cru","Lambari (Astyanax), fresh, raw",draft,
299,"Manjuba, com farinha de trigo, frita","Manjuba (anchovy), with wheat flour, fried",draft,
300,"Manjuba, frita","Manjuba (anchovy), fried",draft,
301,"Merluza, filé, assado","Hake, fillet, baked",draft,
302,"Merluza, filé, cru","Hake, fillet, raw",draft,
303,"Merluza, filé, frito","Hake, fillet, fried",draft,
304,"Pescada, branca, crua","Weakfish, white (pescada branca), raw",draft,
305,"Pescada, branca, frita","Weakfish, white (pescada branca), fried",draft,
306,"Pescada, filé, com farinha de trigo, frito","Weakfish (pescada), fillet, with wheat flour, fried",draft,
307,"Pescada, filé, cru","Weakfish (pescada), fillet, raw",draft,
308,"Pescada, filé, frito","Weakfish (pescada), fillet, fried",draft,
309,"Pescada, filé, molho escabeche","Weakfish (pescada), fillet, escabeche sauce",draft,
310,"Pescadinha, crua","Weakfish, small (pescadinha), raw",draft,
311,"Pintado, assado","Pintado (spotted sorubim catfish), baked",draft,
312,"Pintado, cru","Pintado (spotted sorubim catfish), raw",draft,
313,"Pintado, grelhado","Pintado (spotted sorubim catfish), grilled",draft,
314,"Porquinho, cru","Triggerfish (porquinho), raw",draft,the regional name porquinho is not certainly this species
315,"Salmão, filé, com pele, fresco, grelhado","Salmon, fillet, with skin, fresh, grilled",draft,
316,"Salmão, sem pele, fresco, cru","Salmon, skinless, fresh, raw",draft,
317,"Salmão, sem pele, fresco, grelhado","Salmon, skinless, fresh, grilled",draft,
318,"Sardinha, assada","Sardine, baked",draft,
319,"Sardinha, conserva em óleo","Sardine, canned in oil",draft,
320,"Sardinha, frita","Sardine, fried",draft,
321,"Sardinha, inteira, crua","Sardine, whole, raw",draft,
322,"Tucunaré, filé, congelado, cru","Peacock bass (tucunaré), fillet, frozen, raw",draft,
323,Apresuntado,"Pressed pork, ham style (apresuntado)",draft,
324,"Caldo de carne, tablete","Bouillon, beef, cube",draft,
325,"Caldo de galinha, tablete","Bouillon, chicken, cube",draft,
326,"Carne, bovina, acém, moído, cozido","Beef, chuck (acém), ground, cooked",draft,
327,"Carne, bovina, acém, moído, cru","Beef, chuck (acém), ground, raw",draft,
328,"Carne, bovina, acém, sem gordura, cozido","Beef, chuck (acém), fat trimmed, cooked",draft,
329,"Carne, bovina, acém, sem gordura, cru","Beef, chuck (acém), fat trimmed, raw",draft,
330,"Carne, bovina, almôndegas, cruas","Beef, meatballs, raw",draft,
331,"Carne, bovina, almôndegas, fritas","Beef, meatballs, fried",draft,
332,"Carne, bovina, bucho, cozido","Beef, tripe (bucho), cooked",draft,
333,"Carne, bovina, bucho, cru","Beef, tripe (bucho), raw",draft,
334,"Carne, bovina, capa de contra-filé, com gordura, crua","Beef, ribeye cap (capa de contra-filé), with fat, raw",draft,
335,"Carne, bovina, capa de contra-filé, com gordura, grelhada","Beef, ribeye cap (capa de contra-filé), with fat, grilled",draft,
336,"Carne, bovina, capa de contra-filé, sem gordura, crua","Beef, ribeye cap (capa de contra-filé), fat trimmed, raw",draft,
337,"Carne, bovina, capa de contra-filé, sem gordura, grelhada","Beef, ribeye cap (capa de contra-filé), fat trimmed, grilled",draft,
338,"Carne, bovina, charque, cozido","Beef, charque (salted sun-dried beef), cooked",draft,
339,"Carne, bovina, charque, cru","Beef, charque (salted sun-dried beef), raw",draft,
340,"Carne, bovina, contra-filé, à milanesa","Beef, striploin (contra-filé), breaded and fried (milanesa)",draft,
341,"Carne, bovina, contra-filé de costela, cru","Beef, ribeye (contra-filé de costela), raw",draft,
342,"Carne, bovina, contra-filé de costela, grelhado","Beef, ribeye (contra-filé de costela), grilled",draft,
343,"Carne, bovina, contra-filé, com gordura, cru","Beef, striploin (contra-filé), with fat, raw",draft,
344,"Carne, bovina, contra-filé, com gordura, grelhado","Beef, striploin (contra-filé), with fat, grilled",draft,
345,"Carne, bovina, contra-filé, sem gordura, cru","Beef, striploin (contra-filé), fat trimmed, raw",draft,
346,"Carne, bovina, contra-filé, sem gordura, grelhado","Beef, striploin (contra-filé), fat trimmed, grilled",draft,
347,"Carne, bovina, costela, assada","Beef, ribs (costela), roasted",draft,
348,"Carne, bovina, costela, crua","Beef, ribs (costela), raw",draft,
349,"Carne, bovina, coxão duro, sem gordura, cozido","Beef, bottom round (coxão duro), fat trimmed, cooked",draft,
350,"Carne, bovina, coxão duro, sem gordura, cru","Beef, bottom round (coxão duro), fat trimmed, raw",draft,
351,"Carne, bovina, coxão mole, sem gordura, cozido","Beef, top round (coxão mole), fat trimmed, cooked",draft,
352,"Carne, bovina, coxão mole, sem gordura, cru","Beef, top round (coxão mole), fat trimmed, raw",draft,
353,"Carne, bovina, cupim, assado","Beef, cupim (zebu hump), roasted",draft,
354,"Carne, bovina, cupim, cru","Beef, cupim (zebu hump), raw",draft,
355,"Carne, bovina, fígado, cru","Beef, liver, raw",draft,
356,"Carne, bovina, fígado, grelhado","Beef, liver, grilled",draft,
357,"Carne, bovina, filé mingnon, sem gordura, cru","Beef, tenderloin (filé mignon), fat trimmed, raw",draft,
358,"Carne, bovina, filé mingnon, sem gordura, grelhado","Beef, tenderloin (filé mignon), fat trimmed, grilled",draft,
359,"Carne, bovina, flanco, sem gordura, cozido","Beef, flank (flanco), fat trimmed, cooked",draft,
360,"Carne, bovina, flanco, sem gordura, cru","Beef, flank (flanco), fat trimmed, raw",draft,
361,"Carne, bovina, fraldinha, com gordura, cozida","Beef, flap (fraldinha), with fat, cooked",draft,
362,"Carne, bovina, fraldinha, com gordura, crua","Beef, flap (fraldinha), with fat, raw",draft,
363,"Carne, bovina, lagarto, cozido","Beef, eye of round (lagarto), cooked",draft,
364,"Carne, bovina, lagarto, cru","Beef, eye of round (lagarto), raw",draft,
365,"Carne, bovina, língua, cozida","Beef, tongue, cooked",draft,
366,"Carne, bovina, língua, crua","Beef, tongue, raw",draft,
367,"Carne, bovina, maminha, crua","Beef, tri-tip (maminha), raw",draft,
368,"Carne, bovina, maminha, grelhada","Beef, tri-tip (maminha), grilled",draft,
369,"Carne, bovina, miolo de alcatra, sem gordura, cru","Beef, top sirloin (miolo de alcatra), fat trimmed, raw",draft,
370,"Carne, bovina, miolo de alcatra, sem gordura, grelhado","Beef, top sirloin (miolo de alcatra), fat trimmed, grilled",draft,
371,"Carne, bovina, músculo, sem gordura, cozido","Beef, shank (músculo), fat trimmed, cooked",draft,
372,"Carne, bovina, músculo, sem gordura, cru","Beef, shank (músculo), fat trimmed, raw",draft,
373,"Carne, bovina, paleta, com gordura, crua","Beef, shoulder clod (paleta), with fat, raw",draft,
374,"Carne, bovina, paleta, sem gordura, cozida","Beef, shoulder clod (paleta), fat trimmed, cooked",draft,
375,"Carne, bovina, paleta, sem gordura, crua","Beef, shoulder clod (paleta), fat trimmed, raw",draft,
376,"Carne, bovina, patinho, sem gordura, cru","Beef, knuckle (patinho), fat trimmed, raw",draft,
377,"Carne, bovina, patinho, sem gordura, grelhado","Beef, knuckle (patinho), fat trimmed, grilled",draft,
378,"Carne, bovina, peito, sem gordura, cozido","Beef, brisket (peito), fat trimmed, cooked",draft,
379,"Carne, bovina, peito, sem gordura, cru","Beef, brisket (peito), fat trimmed, raw",draft,
380,"Carne, bovina, picanha, com gordura, crua","Beef, picanha (top sirloin cap), with fat, raw",draft,
381,"Carne, bovina, picanha, com gordura, grelhada","Beef, picanha (top sirloin cap), with fat, grilled",draft,
382,"Carne, bovina, picanha, sem gordura, crua","Beef, picanha (top sirloin cap), fat trimmed, raw",draft,
