# release: http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl
# source: https://raw.githubusercontent.com/FoodOntology/foodon/cd73540243a84bcd511a500d9a497d12d7dc02f6/foodon.owl
# sha256: b897bf64c1b265c422db9ee01e1235c10c0b809e7f02326ef810a52068347edf
class	label
FOODON_00001052	amasake food product
FOODON_00001053	fermented dairy food product
FOODON_00001054	fermented fish or seafood food product
FOODON_00001055	sea water fish food product
FOODON_00001056	flour food product
FOODON_00001057	plant fruit food product
FOODON_00001058	fruit extract food product
FOODON_00001059	apple juice
FOODON_00001060	awamori food product
FOODON_00001061	bacon food product
FOODON_00001062	fermented millet food product
FOODON_00001063	millet beer food product
FOODON_00001064	bottled beer food product
FOODON_00001065	blue cheese food product
FOODON_00001066	bottled fruit food product
FOODON_00001067	buttermilk food product
FOODON_00001069	fermented fruit food product
FOODON_00001070	miso food product
FOODON_00001071	grape must
FOODON_00001073	vinegar food product
FOODON_00001074	barley malt vinegar
FOODON_00001075	mammalian milk (nonfat, dry)
FOODON_00001076	sake food product
FOODON_00001077	salt pork meat food product
FOODON_00001078	fermented soybean food product
FOODON_00001079	food (pickled)
FOODON_00001080	tape kefan food product
FOODON_00001081	Bondon cheese food product
FOODON_00001082	bitter cheese food product
FOODON_00001083	sugar condiment
FOODON_00001085	evaporated milk food product
FOODON_00001086	kefir food product
FOODON_00001087	vegetable oil food product
FOODON_00001088	flaxseed oil
FOODON_00001089	milled corn food product
FOODON_00001090	sour milk beverage
FOODON_00001091	dried milk food product
FOODON_00001092	vertebrate food product
FOODON_00001093	cereal grain food product
FOODON_00001094	fermented beverage
FOODON_00001095	fermented grape beverage
FOODON_00001096	fermented elaeis palm beverage
FOODON_00001097	fermented sugar cane beverage
FOODON_00001098	fermented apple beverage
FOODON_00001099	apple beverage
FOODON_00001100	orange fruit beverage
FOODON_00001101	grape beverage
FOODON_00001102	fermented grain beverage
FOODON_00001103	fermented agave beverage
FOODON_00001104	sea water fish egg food product
FOODON_00001105	avian egg food product
FOODON_00001106	camelid dairy food product
FOODON_00001107	bovine dairy food product
FOODON_00001108	buffalo dairy food product
FOODON_00001109	caprine dairy food product
FOODON_00001110	donkey dairy food product
FOODON_00001111	equine dairy food product
FOODON_00001112	ovine dairy food product
FOODON_00001113	yak dairy food product
FOODON_00001114	zebra dairy food product
FOODON_00001115	reindeer dairy food product
FOODON_00001116	water buffalo dairy food product
FOODON_00001117	horse dairy food product
FOODON_00001118	cattle dairy food product
FOODON_00001119	cervid dairy food product
FOODON_00001120	camelid milk beverage
FOODON_00001121	equine milk beverage
FOODON_00001122	cervid milk beverage
FOODON_00001123	cow milk beverage
FOODON_00001124	caprine cheese food product
FOODON_00001125	ovine cheese food product
FOODON_00001126	bovine cheese food product
FOODON_00001127	cow milk cheese
FOODON_00001128	Limburger cheese food product
FOODON_00001129	goat milk cheese food product
FOODON_00001130	sheep milk cheese food product
FOODON_00001131	poultry meat food product
FOODON_00001132	swine food product
FOODON_00001133	condiment
FOODON_00001134	bovine meat food product
FOODON_00001135	distilled fermented grain beverage
FOODON_00001136	distilled fermented beverage
FOODON_00001138	tea based beverage product
FOODON_00001139	coffee based beverage product
FOODON_00001140	fruit juice food product
FOODON_00001141	wheat food product
FOODON_00001142	maize (corn) food product
FOODON_00001143	fungus food product
FOODON_00001144	yeast material
FOODON_00001145	microbial material
FOODON_00001146	solanaceous root food product
FOODON_00001147	plant root food product
FOODON_00001148	potato food product
FOODON_00001149	confectionery food
FOODON_00001150	cucurbit fruit food product
FOODON_00001151	citrus fruit food product
FOODON_00001152	melon fruit food product
FOODON_00001153	muskmelon (Cucumis melo) fruit food product
FOODON_00001154	citrullus lanatus fruit food product
FOODON_00001155	watermelon plant
FOODON_00001156	citrus fruit juice
FOODON_00001157	pomaceous fruit juice beverage
FOODON_00001158	pomaceous fruit food product
FOODON_00001159	fermented pomaceous fruit beverage
FOODON_00001160	pomaceous fruit extract
FOODON_00001161	citrus fruit extract food product
FOODON_00001162	grape extract
FOODON_00001163	solanaceous fruit food product
FOODON_00001164	tomato food product
FOODON_00001165	solanaceous food product
FOODON_00001166	plant inflorescence food product
FOODON_00001167	amaranthaceous food product
FOODON_00001169	cruciferous food product
FOODON_00001170	grape berry food product
FOODON_00001171	cruciferous inflorescence food product
FOODON_00001172	nut food product
FOODON_00001173	plant seed food product
FOODON_00001174	plant lipid food product
FOODON_00001175	plant stem food product
FOODON_00001176	invertebrate food product
FOODON_00001177	insect food product
FOODON_00001178	honey food product
FOODON_00001179	amaranthaceous inflorescence food product
FOODON_00001180	prepared food product
FOODON_00001181	food (cooked)
FOODON_00001182	pickled cruciferous food product
FOODON_00001183	bread food product
FOODON_00001184	algae material
FOODON_00001185	rice food product
FOODON_00001186	buckewheat food product
FOODON_00001187	sorghum food product
FOODON_00001189	oat food product
FOODON_00001190	rye food product
FOODON_00001191	barley food product
FOODON_00001192	quinoa food product
FOODON_00001193	fonio food product
FOODON_00001194	dry pea food product
FOODON_00001196	pigeon pea (dried)
FOODON_00001197	bambara groundnut food product
FOODON_00001198	broad bean (dried)
FOODON_00001199	chickpea food product
FOODON_00001200	cowpea (pulse) food product
FOODON_00001201	dry bean food product
FOODON_00001202	winged bean food product
FOODON_00001203	vetch seed (dried)
FOODON_00001204	yam bean food product
FOODON_00001205	velvet bean (dried)
FOODON_00001206	lupin seed food product
FOODON_00001207	jack bean (dried)
FOODON_00001208	hyacinth bean food product
FOODON_00001209	pulse food product
FOODON_00001210	wheat flour food product
FOODON_00001211	pasta food product
FOODON_00001212	pastry food product
FOODON_00001214	candy food product
FOODON_00001215	cacao food product
FOODON_00001216	cream food product
FOODON_00001217	mammalian milk beverage
FOODON_00001218	bee food product
FOODON_00001219	sausage (cooked, smoked)
FOODON_00001220	sausage (smoked)
FOODON_00001221	sausage (raw, smoked)
FOODON_00001222	sausage (raw)
FOODON_00001223	meat sausage (dried, fermented)
FOODON_00001224	meat sausage (cooked)
FOODON_00001225	smoked meat food product
FOODON_00001226	fruit preserve or jam food product
FOODON_00001227	jam food product
FOODON_00001228	rennet food product
FOODON_00001229	processed cheese food product
FOODON_00001230	mustard seed food product
FOODON_00001231	creamy salad dressing
FOODON_00001232	vinaigrette dressing food product
FOODON_00001233	nut oil food product
FOODON_00001234	mayonnaise food product
FOODON_00001235	soy sauce food product
FOODON_00001236	fresh sea water fish food product
FOODON_00001237	natural (animal-derived) rennet food product
FOODON_00001238	microbial rennet
FOODON_00001239	vegetable rennet food product
FOODON_00001240	rennet (genetically engineered)
FOODON_00001241	processed pork meat food product
FOODON_00001242	spice or herb
FOODON_00001243	animal lipid food product
FOODON_00001244	coffee beverage
FOODON_00001245	tea beverage (liquid)
FOODON_00001246	hot chocolate food product
FOODON_00001247	mate food product
FOODON_00001248	fish food product
FOODON_00001249	freshwater fish food product
FOODON_00001250	fish egg food product
FOODON_00001251	avian food product
FOODON_00001252	animal derived beverage
FOODON_00001253	plant derived beverage
FOODON_00001254	plant derived fermented beverage
FOODON_00001255	nonfermented plant derived beverage product
FOODON_00001256	dairy food product
FOODON_00001257	milk or milk based food product
FOODON_00001258	food (fermented)
FOODON_00001259	non-fruit wine food product
FOODON_00001260	beer beverage
FOODON_00001261	vegetable food product
FOODON_00001262	botanical fruit food product
FOODON_00001263	bu-du
FOODON_00001264	legume food product
FOODON_00001265	buffalo milk beverage
FOODON_00001266	camel milk beverage
FOODON_00001267	donkey milk beverage
FOODON_00001268	horse milk beverage
FOODON_00001269	reindeer milk beverage
FOODON_00001270	water buffalo milk beverage
FOODON_00001271	yak milk beverage
FOODON_00001272	zebra milk beverage
FOODON_00001273	spinach plant
FOODON_00001274	egg food product
FOODON_00001275	chicken egg food product
FOODON_00001276	apple cider (alcoholic)
FOODON_00001277	orange juice (unpasteurized)
FOODON_00001278	cake food product
FOODON_00001279	cake icing food product
FOODON_00001280	chocolate food product
FOODON_00001281	custard dessert food product
FOODON_00001282	beef (ground)
FOODON_00001283	poultry food product
FOODON_00001284	duck meat food product
FOODON_00001285	goose meat food product
FOODON_00001286	turkey meat food product
FOODON_00001288	cantaloupe fruit food product
FOODON_00001289	potato salad food product
FOODON_00001290	salad dressing
FOODON_00001291	clam food product
FOODON_00001292	oyster food product
FOODON_00001293	shellfish food product
FOODON_00001294	goat milk cheese (unpasteurized)
FOODON_00001295	pecorino cheese
FOODON_00001296	sheep milk cheese (unpasteurized)
FOODON_00001297	unpasteurized cow milk cheese food product
FOODON_00001298	unpasteurized camel milk beverage
FOODON_00001299	caprine milk beverage (raw)
FOODON_00001300	unpasteurized milk beverage
FOODON_00001302	lasagne food product
FOODON_00001304	food fermentation
FOODON_00001305	hoi-dong
FOODON_00001306	Hom dong
FOODON_00001307	ma kham dong
FOODON_00001308	ma yom dong
FOODON_00001309	Miang
FOODON_00001310	mum
FOODON_00001311	mum-khai-pla
FOODON_00001312	mum-sai-pla
FOODON_00001313	nam-budu
FOODON_00001314	fermented meat product
FOODON_00001315	nham
FOODON_00001316	nham-pla
FOODON_00001317	noa mai
FOODON_00001318	noa mai dong
FOODON_00001319	pak kard dong
FOODON_00001320	pak kum dong
FOODON_00001321	pak sean dong
FOODON_00001322	pak sean and hua plee dong
FOODON_00001323	pak sean and makhua dong
FOODON_00001324	pla-chom
FOODON_00001325	pla-jaw
FOODON_00001326	pla-som
FOODON_00001327	pu dong
FOODON_00001328	som-khai-pla
FOODON_00001329	tai-pla
FOODON_00001330	tuaw jaew
FOODON_00001331	pla-ra
FOODON_00001332	rice powder (roasted)
FOODON_00001564	blood meal
FOODON_00001565	pre-evisceration carcass
FOODON_00001566	post-evisceration carcass
FOODON_00001567	animal primal cut
FOODON_00001568	food trimming
FOODON_00001569	high moisture corn (animal feed)
FOODON_00001570	rolled grain
FOODON_00001571	corn stover
FOODON_00001572	corn stubble
FOODON_00001573	cottonseed hull
FOODON_00001574	soybean stubble
FOODON_00001575	abalone food product
FOODON_00001576	aerated confectionery food product
FOODON_00001577	akee fruit food product
FOODON_00001578	albacore food product
FOODON_00001579	alcoholic beverage
FOODON_00001580	alcoholic beverage analog
FOODON_00001581	alewife food product
FOODON_00001582	alfalfa food product
FOODON_00001583	alfalfa pellet
FOODON_00001584	alfalfa vegetable food product
FOODON_00001585	almond candy food product
FOODON_00001586	almond cookie food product
FOODON_00001587	almond food product
FOODON_00001588	american dewberry food product
FOODON_00001589	anchovy food product
FOODON_00001590	angelica candy food product
FOODON_00001593	animal-based dessert
FOODON_00001594	animal based food product for animal
FOODON_00001595	animal based refined or partially-refined food product
FOODON_00001596	animal based salad food product
FOODON_00001597	animal-based sandwich food product
FOODON_00001598	animal-based stew or hash
FOODON_00001599	animal fat or oil refined food product
FOODON_00001601	animal product based dressing
FOODON_00001602	animal product based flavoring or seasoning
FOODON_00001603	animal product dressing
FOODON_00001604	animal product sandwich
FOODON_00001605	animal product sausage
FOODON_00001606	soup animal component
FOODON_00001608	animal soup food product
FOODON_00001609	apple based alcoholic beverage
FOODON_00001610	apple condiment
FOODON_00001611	apple food product
FOODON_00001612	apple preserve or jam food product
FOODON_00001613	apple vinegar food product
FOODON_00001614	apple wine food product
FOODON_00001615	apricot food product
FOODON_00001616	apricot preserve or jam food product
FOODON_00001617	artichoke vegetable food product
FOODON_00001618	artificial sweetener
FOODON_00001619	asian water buffalo meat food product
FOODON_00001620	asparagus vegetable food product
FOODON_00001621	atlantic halibut food product
FOODON_00001622	atlantic herring food product
FOODON_00001623	atlantic salmon and trout food product
FOODON_00001625	avocado food product
FOODON_00001626	bakery food product
FOODON_00001627	bamboo food product
FOODON_00001628	banana food product
FOODON_00001629	banana passionfruit food product
FOODON_00001630	barley alcoholic beverage analog
FOODON_00001631	barley product flavoring
FOODON_00001632	milled barley food product
FOODON_00001633	barley vegetable food product
FOODON_00001634	sea bass food product
FOODON_00001635	bean food product
FOODON_00001636	beef product based flavoring or seasoning
FOODON_00001637	beet pickle food product
FOODON_00001638	beet food product
FOODON_00001639	belgian carrot food product
FOODON_00001640	berry food product
FOODON_00001641	berry juice
FOODON_00001642	betel nut food product
FOODON_00001643	beverage base product
FOODON_00001645	beverage analog
FOODON_00001647	black currant nectar beverage
FOODON_00001648	black olive food product
FOODON_00001649	black or white pepper product
FOODON_00001650	black pepper food product
FOODON_00001651	black raspberry food product
FOODON_00001652	black walnut food product
FOODON_00001653	blackberry group food product
FOODON_00001654	blackeyed pea vegetable food product
FOODON_00001655	blue runner food product
FOODON_00001656	blueberry food product
FOODON_00001657	blueberry preserve or jam food product
FOODON_00001658	bluefin tuna food product
FOODON_00001659	bluefish food product
FOODON_00001660	bonito food product
FOODON_00001661	bony fish food product
FOODON_00001662	boysenberry food product
FOODON_00001663	brazil nut food product
FOODON_00001664	brittle food product
FOODON_00001665	broad bean food product
FOODON_00001666	broccoli food product
FOODON_00001667	broiler chicken meat food product
FOODON_00001668	broth or stock food product
FOODON_00001669	brown trout food product
FOODON_00001670	brussels sprout food product
FOODON_00001671	buffalo meat food product
FOODON_00001672	buffalofish food product
FOODON_00001673	butter product analog
FOODON_00001674	butterfly mackerel food product
FOODON_00001675	cabbage juice food product
FOODON_00001677	cabbage head food product
FOODON_00001678	calf meat food product
FOODON_00001679	cape hake food product
FOODON_00001680	cape spiny lobster food product
FOODON_00001681	caper food product
FOODON_00001682	caramel candy food product
FOODON_00001683	cardamom food product
FOODON_00001684	carp food product
FOODON_00001685	carp or minnow family food product
FOODON_00001686	carrot juice food product
FOODON_00001687	carrot food product
FOODON_00001688	cashew nut food product
FOODON_00001691	cassava snack food product
FOODON_00001692	cassava food product
FOODON_00001694	cattle based pie food product
FOODON_00001695	cattle broth or stock food product
FOODON_00001696	cattle cured meat food product
FOODON_00001697	cattle product based flavoring or seasoning
FOODON_00001698	cattle product stew or hash
FOODON_00001699	cattle sandwich
FOODON_00001700	cattle sausage food product
FOODON_00001701	cattle soup food product
FOODON_00001702	cauliflower (pickled) food product
FOODON_00001703	cauliflower food product
FOODON_00001704	celery food product
FOODON_00001705	leaf celery food product
FOODON_00001707	cephalopod food product
FOODON_00001708	cereal dessert food product
FOODON_00001709	cereal food product
FOODON_00001710	chamomile tea
FOODON_00001711	channel catfish food product
FOODON_00001712	cheese product analog
FOODON_00001713	chemical product based flavoring
FOODON_00001714	food material component
FOODON_00001715	chemical soft drink
FOODON_00001716	chemical sweetener
FOODON_00001717	cherry food product
FOODON_00001718	cherry juice food product
FOODON_00001719	cherry nectar beverage
FOODON_00001720	cherry pie
FOODON_00001721	cherry preserve or jam food product
FOODON_00001722	chestnut food product
FOODON_00001723	chewing gum food product
FOODON_00001725	chicken product based flavoring or seasoning
FOODON_00001726	chicken pie food product
FOODON_00001727	chicken salad food product
FOODON_00001728	chicken soup food product
FOODON_00001729	chicken stew or hash
FOODON_00001730	chicory food product
FOODON_00001731	chinook salmon food product
FOODON_00001732	chive food product
FOODON_00001733	chocolate candy food product
FOODON_00001734	chocolate product analog
FOODON_00001735	chub mackerel food product
FOODON_00001736	chum salmon food product
FOODON_00001737	cichlid food product
FOODON_00001738	cinnamon food product
FOODON_00001739	citric acid soft drink
FOODON_00001740	citron food product
FOODON_00001741	citrus nectar beverage
FOODON_00001742	citrus preserve or jam food product
FOODON_00001743	clingstone peach food product
FOODON_00001744	cloudberry food product
FOODON_00001745	clove food product
FOODON_00001746	cockle food product
FOODON_00001747	cocoa beverage
FOODON_00001748	coconut beverage
FOODON_00001750	cod food product
FOODON_00001751	codling food product
FOODON_00001752	coho salmon food product
FOODON_00001753	kola nut food product
FOODON_00001754	cold-pack cheese food product
FOODON_00001755	collard food product
FOODON_00001756	Cavendish banana food product
FOODON_00001757	common bean food product
FOODON_00001758	common millet food product
FOODON_00001759	common oat cereal food product
FOODON_00001761	condiment sauce
FOODON_00001762	cookie food product
FOODON_00001763	coriander food product
FOODON_00001764	corn snack
FOODON_00001765	vegetable corn food product
FOODON_00001766	corvina food product
FOODON_00001767	cotton seed food product
FOODON_00001768	cotton seed refined oil food product
FOODON_00001769	cow buttermilk food product
FOODON_00001770	dried cow milk food product
FOODON_00001771	cow milk based food product
FOODON_00001772	cow milk butter food product
FOODON_00001773	cow milk cheese analog
FOODON_00001774	cow milk cheese cake food product
FOODON_00001775	cow milk cream food product
FOODON_00001776	cow milk cured cheese food product
FOODON_00001777	cow milk dessert
FOODON_00001778	cow milk hard cheese food product
FOODON_00001779	cow milk pie food product
FOODON_00001780	cow milk product based dressing
FOODON_00001781	cow milk sherbet food product
FOODON_00001782	cow milk snack
FOODON_00001783	cowpea vegetable food product
FOODON_00001784	cow milk processed cheese product
FOODON_00001786	cranberry food product
FOODON_00001788	cranberry preserve or jam food product
FOODON_00001789	crayfish food product
FOODON_00001790	cream dressing food product
FOODON_00001791	cream product analog
FOODON_00001792	crustacean food product
FOODON_00001793	cucumber or gherkin pickle food product
FOODON_00001794	cucumber relish food product
FOODON_00001795	cucumber food product
FOODON_00001796	cultural food
FOODON_00001797	cured cheese food product
FOODON_00001798	cusk food product
FOODON_00001799	cuttlefish food product
FOODON_00001800	dairy dessert food product
FOODON_00001801	dairy product analog
FOODON_00001802	dairy product based dressing
FOODON_00001803	date food product
FOODON_00001804	deep sea lobster food product
FOODON_00001805	deer meat food product
FOODON_00001807	devilfish food product
FOODON_00001808	devils tongue food product
FOODON_00001809	dietary or therapeutic formulation food
FOODON_00001810	dietetic food
FOODON_00001811	dill food product
FOODON_00001812	diluted apple beverage
FOODON_00001813	diluted citrus fruit beverage
FOODON_00001814	diluted fruit beverage
FOODON_00001815	diluted grape beverage
FOODON_00001816	diluted orange beverage
FOODON_00001817	alcoholic beverage (distilled)
FOODON_00001819	dogfish food product
FOODON_00001820	dolphinfish food product
FOODON_00001821	doughnut food product
FOODON_00001822	duck egg food product
FOODON_00001823	milled durum wheat
FOODON_00001824	durum wheat pasta
FOODON_00001825	durum wheat food product
FOODON_00001826	eel food product
FOODON_00001828	egg-based dessert
FOODON_00001829	egg material analog
FOODON_00001830	eggplant food product
FOODON_00001831	emulsified cheese product
FOODON_00001832	emulsified food product
FOODON_00001833	english walnut food product
FOODON_00001834	european blackberry food product
FOODON_00001835	european blackberry preserve or jam food product
FOODON_00001836	european filbert nut food product
FOODON_00001837	fenugreek food product
FOODON_00001838	fermented cereal beverage
FOODON_00001839	fern vegetable food product
FOODON_00001840	field corn based bakery food product
FOODON_00001841	infant formula with corn syrup
FOODON_00001842	field corn cereal food product
FOODON_00001843	field corn custard food product
FOODON_00001844	field corn distinctive distilled spirit
FOODON_00001845	field corn food product
FOODON_00001846	field corn refined food product
FOODON_00001847	field corn snack food product
FOODON_00001848	field corn sweetener product
FOODON_00001849	field corn vegetable food product
FOODON_00001850	field pea vegetable food product
FOODON_00001851	fig food product
FOODON_00001853	fig preserve or jam food product
FOODON_00001854	fish food product analog
FOODON_00001855	fish refined food product
FOODON_00001856	fish soup
FOODON_00001857	food flavoring or seasoning
FOODON_00001859	flaxseed food product
FOODON_00001860	flax vegetable food product
FOODON_00001861	florida stone crab food product
FOODON_00001862	flying fish food product
FOODON_00001863	fondant food product
FOODON_00001864	food base product
FOODON_00001865	food coating
FOODON_00001866	food concentrate
FOODON_00001867	food dressing
FOODON_00001868	food filling material
FOODON_00001870	food mix product
FOODON_00001871	food material analog
FOODON_00001872	food material (to be processed)
FOODON_00001873	food spread
FOODON_00001874	food supplement
FOODON_00001875	fermented milk food product
FOODON_00001876	freshwater drum food product
FOODON_00001877	frigate tuna food product
FOODON_00001878	frozen dairy dessert
FOODON_00001879	frozen dairy food product
FOODON_00001880	frozen nondairy dessert food product
FOODON_00001881	frozen yogurt food product
FOODON_00001882	fruit based alcoholic beverage
FOODON_00001883	fruit based distilled spirit
FOODON_00001884	fruit based gravy or sauce food product
FOODON_00001885	fruit butter food product
FOODON_00001886	fruit candy food product
FOODON_00001887	fruit dessert food product
FOODON_00001888	fruit jelly food product
FOODON_00001890	fruit pie food product
FOODON_00001891	fruit salad food product
FOODON_00001892	fruit spread or sauce
FOODON_00001893	fudge food product
FOODON_00001894	fungus vegetable food product
FOODON_00001895	garlic food product
FOODON_00001896	chickpea (whole or pieces)
FOODON_00001898	garlic product flavoring or seasoning
FOODON_00001899	gelatin dessert food product
FOODON_00001900	gelatin refined food product
FOODON_00001901	ginger food product
FOODON_00001902	ginger preserve or jam food product
FOODON_00001903	ginseng tea
FOODON_00001904	ginseng food product
FOODON_00001905	ginseng plant food product
FOODON_00001906	glaze food product
FOODON_00001907	gluten refined food product
FOODON_00001909	goat evaporated milk food product
FOODON_00001910	goat milk beverage
FOODON_00001911	goat dairy food product
FOODON_00001912	goat milk (pasteurized)
FOODON_00001913	goat powdered milk food product
FOODON_00001914	gooseberry food product
FOODON_00001915	gourd food product
FOODON_00001916	grain based alcoholic beverage
FOODON_00001917	grain based bakery food product
FOODON_00001918	grain based distilled spirit
FOODON_00001919	grain based vinegar food product
FOODON_00001920	grape spread or sauce
FOODON_00001921	grape alcoholic beverage analog
FOODON_00001922	grape based alcoholic beverage
FOODON_00001923	grape based distilled spirit
FOODON_00001924	grape based low-alcohol wine food product
FOODON_00001925	grape based wine or wine-like food product
FOODON_00001926	grape juice food product
FOODON_00001927	grape preserve or jam food product
FOODON_00001928	grape vinegar food product
FOODON_00001929	grapefruit food product
FOODON_00001931	gravy or sauce
FOODON_00001932	gray mullet food product
FOODON_00001933	great northern bean food product
FOODON_00001934	green bean food product
FOODON_00001935	green bell pepper food product
FOODON_00001936	green olive food product
FOODON_00001937	greenland halibut food product
FOODON_00001938	grouper food product
FOODON_00001939	grouse meat food product
FOODON_00001940	guava food product
FOODON_00001941	haddock food product
FOODON_00001942	halibut food product
FOODON_00001943	ham salad food product
FOODON_00001944	hard candy food product
FOODON_00001945	hard cheese food product
FOODON_00001946	hard grating cheese food product
FOODON_00001947	hard wheat food product
FOODON_00001948	heavy wine, 14-24% alcohol, food product
FOODON_00001949	hemp food product
FOODON_00001950	herring food product
FOODON_00001951	hops product flavoring
FOODON_00001952	horse meat food product
FOODON_00001953	horseradish plant food product
FOODON_00001955	hot pepper spice food product
FOODON_00001956	hot pepper food product
FOODON_00001957	huckleberry food product
FOODON_00001958	human milk based food product
FOODON_00001959	hungarian wax pepper food product
FOODON_00001960	hungarian wax pepper pickle food product
FOODON_00001961	ice cow milk food product
FOODON_00001962	ice cream product analog
FOODON_00001963	ice goat milk food product
FOODON_00001964	mammalian ice milk food product
FOODON_00001965	icing or frosting food product
FOODON_00001966	illipe refined food product
FOODON_00001967	imitation food product
FOODON_00001968	imitation fruit juice
FOODON_00001969	imitation fruit preserve or jam food product
FOODON_00001970	imitation nonalcoholic beverage
FOODON_00001971	imitation vinegar food product
FOODON_00001972	inconnu food product
FOODON_00001974	insect refined food product
FOODON_00001975	jack family (or carangidae) food product
FOODON_00001976	jalapeno pepper food product
FOODON_00001977	jelly candy food product
FOODON_00001978	jelly condiment
FOODON_00001979	jerusalem artichoke food product
FOODON_00001980	jewfish food product
FOODON_00001981	kale food product
FOODON_00001982	kangaroo meat food product
FOODON_00001984	kegani crab food product
FOODON_00001985	kelp food product
FOODON_00001986	kidney bean food product
FOODON_00001987	king crab food product
FOODON_00001988	konbu vegetable food product
FOODON_00001989	krill food product
FOODON_00001990	kumquat food product
FOODON_00001991	lake herring food product
FOODON_00001992	lamb meat food product
FOODON_00001993	langostino food product
FOODON_00001994	leguminous vegetable food product
FOODON_00001995	lemon food product
FOODON_00001997	lentil food product
FOODON_00001998	lettuce head food product
FOODON_00001999	light wine
FOODON_00002000	lima bean food product
FOODON_00002001	acerola food product
FOODON_00002002	lime preserve or jam food product
FOODON_00002003	lingonberry food product
FOODON_00002004	lingonberry preserve or jam
FOODON_00002005	liqueur food product
FOODON_00002006	lychee food product
FOODON_00002007	lobster food product
FOODON_00002008	loganberry food product
FOODON_00002009	longtail tuna food product
FOODON_00002010	low-alcohol wine food product
FOODON_00002011	lumpfish food product
FOODON_00002012	lupine bean food product
FOODON_00002013	macaroni or noodle food product
FOODON_00002014	mace food product
FOODON_00002015	mackerel food product
FOODON_00002016	malabar snapper food product
FOODON_00002017	barley malt beverage
FOODON_00002018	mandarin orange food product
FOODON_00002019	mandarin orange juice
FOODON_00002020	mango food product
FOODON_00002021	mango nectar beverage
FOODON_00002022	margarine food product
FOODON_00002023	marjoram food product
FOODON_00002024	marlin food product
FOODON_00002025	mate beverage
FOODON_00002026	meal replacement food product
FOODON_00002027	meat product analog
FOODON_00002028	meat salad food product
FOODON_00002029	melon food product
FOODON_00002030	microbial refined food product
FOODON_00002031	milk based gravy or sauce food product
FOODON_00002032	milk based product analog
FOODON_00002033	milk based topping food product
FOODON_00002034	milk beverage analog
FOODON_00002035	milk dessert food product
FOODON_00002036	milk product based dressing
FOODON_00002037	milkfish food product
FOODON_00002038	millet food product
FOODON_00002039	mineral substance as food supplement
FOODON_00002040	mineral water based soft drink
FOODON_00002041	mineral water food product
FOODON_00002042	miracle berry food product
FOODON_00002043	mixed fruit beverage
FOODON_00002044	mollusc food product
FOODON_00002045	moreton bay chestnut food product
FOODON_00002046	mung bean food product
FOODON_00002047	mushroom product flavoring or seasoning
FOODON_00002048	mushroom pickle food product
FOODON_00002049	mushroom soup food product
FOODON_00002050	mushroom (whole or pieces)
FOODON_00002051	mussel food product
FOODON_00002052	mustard condiment food product
FOODON_00002053	mustard food product
FOODON_00002054	naranjilla juice product
FOODON_00002055	navy bean food product
FOODON_00002056	nevada jointfir beverage
